host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
100%,97%,3,6,Shared room,1,1,6,38,$0.00 ,$0.00 ,1,1125,2,38.91107388,-77.02320663,Washington,20001,DC
95%,96%,3,1,Private room,1,1,3,38,$60.00 ,$450.00 ,2,1125,2,38.90137679,-76.97560746,Washington,20002,DC
0%,0%,1,2,Private room,1,1,1,39,$35.00 ,$0.00 ,2,1125,0,38.90713808,-76.93017291,Washington,20019,DC
80%,100%,1,1,Private room,1,1,1,39,$0.00 ,$0.00 ,1,1125,0,38.90969577,-77.08711966,Washington,20007,DC
83%,80%,1,4,Entire home/apt,2,1,2,40,$0.00 ,$0.00 ,1,1125,0,38.94441967,-76.9680864,Mount Rainier,20712,MD
80%,67%,1,2,Private room,1,1.5,1,40,$0.00 ,$0.00 ,1,1125,9,38.84306384,-76.99158707,Washington,20032,DC
50%,67%,1,1,Private room,1,1,1,40,$0.00 ,$0.00 ,1,1125,0,38.90915338,-77.08775921,Washington,20007,DC
91%,95%,4,3,Private room,1,1,3,40,$0.00 ,$100.00 ,1,1125,46,38.9065542,-76.94186525,Washington,20019,DC
100%,0%,1,1,Shared room,1,1,1,40,$30.00 ,$0.00 ,4,1125,0,38.90733508,-77.03564408,Washington,20005,DC
100%,97%,3,1,Shared room,1,0,1,40,$0.00 ,$0.00 ,1,1125,104,38.91383879,-77.03867718,Washington,20009,DC
100%,50%,1,2,Private room,1,1,1,40,$0.00 ,$0.00 ,1,1125,0,38.91699215,-77.03077001,Washington,20009,DC
70%,67%,1,2,Private room,1,1.5,1,40,$10.00 ,$0.00 ,1,1125,1,38.94179569,-77.03291502,Washington,20011,DC
85%,79%,19,1,Private room,1,3,1,40,$15.00 ,$0.00 ,4,360,5,38.93740819,-77.02487563,Washington,20010,DC
100%,100%,4,1,Private room,1,1,1,40,$0.00 ,$0.00 ,3,1125,0,38.86094723,-76.98984481,Washington,20020,DC
50%,100%,1,1,Private room,1,1,1,40,$40.00 ,$0.00 ,7,1125,1,38.89755288,-76.98014945,Washington,20002,DC
100%,100%,1,2,Private room,1,1.5,1,40,$18.00 ,$99.00 ,2,7,11,38.89604567,-76.9722255,Washington,20002,DC
90%,83%,1,2,Private room,1,1,1,40,$0.00 ,$0.00 ,4,1125,0,38.90580969,-76.99837951,Washington,20002,DC
85%,79%,19,1,Private room,1,2,1,40,$20.00 ,$0.00 ,4,365,1,38.91986479,-77.0142575,Washington,20001,DC
100%,100%,1,2,Private room,1,1,1,40,$25.00 ,$0.00 ,1,1125,0,38.91630015,-77.01241202,Washington,20001,DC
100%,80%,1,1,Shared room,1,1,1,40,$0.00 ,$100.00 ,2,1125,105,38.93087517,-77.02775562,Washington,20010,DC
97%,56%,2,1,Shared room,1,0,0,40,$0.00 ,$0.00 ,1,1125,0,38.92302306,-77.03364149,Washington,20009,DC
100%,100%,1,1,Shared room,1,1,1,40,$20.00 ,$0.00 ,1,1125,0,38.93650176,-77.08295156,Washington,20016,DC
96%,100%,2,4,Private room,1,1,1,41,$20.00 ,$0.00 ,1,1125,1,38.89820447,-76.91865385,Washington,20019,DC
81%,85%,1,1,Shared room,1,1,1,41,$0.00 ,$0.00 ,1,1125,1,38.91424336,-77.04208753,Washington,20009,DC
99%,99%,8,1,Private room,1,1,1,41,$13.00 ,$0.00 ,1,1125,12,38.86538407,-76.98209991,Washington,20020,DC
96%,100%,2,3,Private room,1,1,1,42,$20.00 ,$0.00 ,1,1125,3,38.89964459,-76.92045298,Washington,20019,DC
90%,100%,1,2,Private room,1,1,1,42,$0.00 ,$250.00 ,4,1125,15,38.95279737,-76.99223221,Washington,20017,DC
100%,100%,1,2,Private room,1,1,1,42,$6.00 ,$0.00 ,1,1125,17,38.9463588,-76.990472,Washington,20017,DC
100%,100%,4,1,Private room,1,1,1,42,$0.00 ,$0.00 ,3,1125,28,38.86287553,-76.99045182,Washington,20020,DC
100%,100%,3,1,Private room,1,1,1,42,$20.00 ,,1,1125,6,38.89154572,-76.98146699,Washington,20002,DC
60%,65%,1,2,Shared room,1,1,1,43,$0.00 ,$0.00 ,1,1125,10,38.90395939,-77.00988865,Washington,20001,DC
83%,67%,1,1,Private room,1,1,1,43,$50.00 ,$250.00 ,1,1125,0,38.92121727,-77.10020546,Washington,20016,DC
96%,90%,4,1,Private room,1,1,1,43,$20.00 ,$95.00 ,1,1125,0,38.90275571,-76.98652014,Washington,20002,DC
98%,95%,3,1,Shared room,1,1,1,43,$0.00 ,$0.00 ,1,1125,1,38.92253995,-77.03729575,Washington,20009,DC
100%,100%,1,1,Private room,1,1.5,1,43,$20.00 ,$0.00 ,3,21,1,38.93570347,-76.97210133,Washington,20018,DC
64%,97%,2,2,Private room,1,1,1,44,$15.00 ,$400.00 ,2,1125,4,38.90515878,-76.98420648,Washington,20002,DC
100%,86%,5,2,Private room,1,1,1,44,$40.00 ,,1,365,1,38.87928342,-76.98371282,Washington,20003,DC
100%,100%,5,2,Private room,1,1,1,45,$0.00 ,$0.00 ,1,1125,0,38.8468335,-76.99945653,Washington,20032,DC
92%,95%,2,1,Private room,1,1,1,45,$0.00 ,$0.00 ,1,1125,4,38.89197311,-76.96042875,Washington,20019,DC
90%,85%,1,2,Private room,1,1,1,45,$0.00 ,$0.00 ,1,1125,4,38.90788897,-77.02368831,Washington,20001,DC
100%,97%,3,6,Shared room,1,2.5,16,45,$0.00 ,$0.00 ,1,1125,2,38.9105398,-77.02278347,Washington,20001,DC
60%,100%,1,4,Shared room,1,1.5,2,45,$0.00 ,$0.00 ,1,1125,8,38.95233002,-76.98660167,Washington,20017,DC
85%,79%,19,1,Private room,1,3,1,45,$20.00 ,$0.00 ,4,365,1,38.93668891,-77.02359971,Washington,20010,DC
85%,79%,19,1,Private room,1,2.5,1,45,$15.00 ,$0.00 ,5,365,4,38.93656106,-77.02377392,Washington,20010,DC
85%,79%,19,1,Private room,1,2.5,1,45,$20.00 ,$0.00 ,4,365,3,38.93821321,-77.02502507,Washington,20010,DC
50%,0%,1,1,Private room,1,1,1,45,$0.00 ,$0.00 ,1,1125,0,38.94196419,-77.06045825,Washington,20008,DC
80%,89%,2,2,Entire home/apt,1,1,1,45,$50.00 ,$100.00 ,2,1125,1,38.96856889,-77.02328025,Washington,20011,DC
100%,50%,3,1,Private room,1,1,1,45,$0.00 ,$0.00 ,4,1125,0,38.96518335,-77.02903795,Washington,20011,DC
100%,50%,3,1,Private room,1,1,1,45,$0.00 ,$0.00 ,4,1125,2,38.96550684,-77.02973788,Washington,20011,DC
90%,80%,3,4,Private room,1,1,1,45,$15.00 ,$150.00 ,2,365,3,38.97574376,-77.02588318,Washington,20012,DC
67%,100%,1,2,Private room,1,1,1,45,$25.00 ,$0.00 ,1,7,1,38.96581442,-77.03461562,Washington,20011,DC
83%,97%,1,1,Private room,1,1,1,45,$0.00 ,$0.00 ,1,30,59,38.95730286,-77.00411136,Washington,20011,DC
33%,0%,1,1,Private room,1,1,1,45,$50.00 ,$250.00 ,1,1125,0,38.95464408,-76.98946963,Washington,20017,DC
100%,100%,4,1,Private room,1,1,1,45,$0.00 ,$95.00 ,3,360,24,38.8608549,-76.98814482,Washington,20020,DC
86%,88%,8,1,Private room,1,1,1,45,$25.00 ,$95.00 ,1,1125,0,38.86638416,-76.98287595,Washington,20020,DC
100%,0%,2,1,Shared room,1,1,1,45,$0.00 ,$0.00 ,1,1125,8,38.91961604,-77.03969063,Washington,20009,DC
100%,40%,2,1,Shared room,1,1,1,45,$0.00 ,$0.00 ,1,14,39,38.92082983,-77.03986526,Washington,20009,DC
100%,20%,1,1,Private room,1,1.5,1,45,$0.00 ,$0.00 ,2,4,0,38.91673628,-76.99929704,Washington,20002,DC
0%,0%,1,1,Private room,1,0.5,1,45,$0.00 ,$0.00 ,1,1125,3,38.93277904,-77.02933259,Washington,20010,DC
100%,100%,1,1,Private room,1,1,1,45,$15.00 ,$0.00 ,1,1125,2,38.93125643,-77.03056145,Washington,20010,DC
100%,100%,2,2,Private room,1,1.5,1,45,$0.00 ,$0.00 ,2,1125,1,38.9202077,-76.98318405,Washington,20018,DC
0%,0%,1,2,Entire home/apt,1,1,1,45,$100.00 ,$0.00 ,1,1125,0,38.92366208,-76.99226394,Washington,20018,DC
64%,97%,2,2,Private room,1,1,1,46,$15.00 ,$400.00 ,2,100,4,38.9034236,-76.98402865,Washington,20002,DC
100%,0%,1,1,Private room,1,1,1,46,$0.00 ,$0.00 ,1,1125,0,38.93318648,-77.0328243,Washington,20010,DC
100%,86%,5,4,Private room,1,1,1,46,$40.00 ,,5,365,1,38.87852624,-76.9831303,Washington,20003,DC
100%,94%,2,2,Private room,1,1,1,47,$0.00 ,$200.00 ,1,1125,50,38.88879959,-76.91753601,Washington,20019,DC
96%,91%,3,2,Private room,1,1,1,47,$0.00 ,$0.00 ,1,1125,12,38.99267363,-77.03776316,Silver Spring,20910,MD
100%,95%,2,1,Shared room,1,1,1,47,$0.00 ,$0.00 ,1,1125,14,38.89909061,-77.00253157,Washington,20002,DC
96%,82%,2,1,Shared room,1,1,1,47,$0.00 ,$0.00 ,1,1125,3,38.91204846,-77.0029124,Washington,20002,DC
43%,100%,1,2,Shared room,1,1,1,48,$25.00 ,$100.00 ,1,1125,4,38.93055695,-77.03814454,Washington,20010,DC
100%,100%,5,1,Private room,1,1,1,49,$35.00 ,$0.00 ,1,1125,1,38.8576089,-76.97440904,Washington,20020,DC
100%,100%,3,2,Shared room,1,1.5,1,49,$12.00 ,$95.00 ,1,1125,3,38.90585558,-77.0122052,Washington,20001,DC
100%,100%,1,2,Private room,1,1,1,49,$25.00 ,$0.00 ,1,1125,11,38.90475608,-76.97936593,Washington,20002,DC
100%,100%,1,2,Private room,1,1,1,49,$0.00 ,$0.00 ,1,1125,3,38.90685742,-76.98376367,Washington,20002,DC
81%,94%,4,4,Shared room,1,1,4,49,$5.00 ,$0.00 ,1,1125,11,38.87942897,-77.02136268,Washington,20024,DC
81%,94%,4,4,Shared room,1,1,4,49,$0.00 ,$0.00 ,1,1125,12,38.8784259,-77.02133449,Washington,20024,DC
100%,100%,5,1,Private room,1,1.5,1,49,$15.00 ,$200.00 ,1,1100,77,38.87208683,-77.0119077,Washington,20024,DC
100%,0%,1,2,Private room,1,1,1,49,$20.00 ,$0.00 ,1,1125,0,38.94500681,-77.01638952,Washington,20011,DC
86%,100%,3,1,Private room,1,1,1,49,$0.00 ,$0.00 ,1,1125,0,38.94651884,-77.08857734,Washington,20016,DC
86%,100%,3,1,Private room,1,1,1,49,$0.00 ,$0.00 ,1,1125,0,38.94672125,-77.08824852,Washington,20016,DC
86%,88%,8,1,Private room,1,1,1,49,$0.00 ,$0.00 ,1,1125,0,38.86611694,-76.98275941,Washington,20020,DC
100%,100%,1,1,Private room,1,1,1,49,$0.00 ,$0.00 ,1,1125,7,38.86232,-76.9617343,Washington,20020,DC
80%,78%,1,2,Private room,1,2,1,49,$0.00 ,$0.00 ,2,7,10,38.9273176,-77.0265545,Washington,20001,DC
96%,88%,3,1,Private room,1,1,1,49,$0.00 ,$0.00 ,4,180,0,38.93167779,-77.02752436,Washington,20010,DC
98%,95%,3,2,Shared room,1,1,1,49,$0.00 ,$0.00 ,1,1125,5,38.92372631,-77.03649393,Washington,20009,DC
83%,0%,1,1,Shared room,1,1,1,49,$0.00 ,$0.00 ,1,1125,8,38.93272925,-77.03897125,Washington,20010,DC
96%,88%,3,2,Private room,1,1,1,49,$0.00 ,$0.00 ,1,180,3,38.93027323,-77.02819158,Washington,20010,DC
100%,85%,1,1,Private room,1,1,1,49,$0.00 ,$0.00 ,1,30,6,38.94021078,-76.97544102,Washington,20018,DC
90%,100%,2,1,Private room,1,2,1,50,0,0,2,1125,1,38.95529092,-76.98600574,Hyattsville,20782,MD
92%,67%,1,4,Entire home/apt,1,1,1,50,$15.00 ,$450.00 ,7,1125,0,38.99638163,-77.04154101,Silver Spring,20910,MD
0%,0%,1,2,Private room,1,1,1,50,$20.00 ,$150.00 ,2,14,0,38.99204996,-77.04652369,Silver Spring,20910,MD
100%,100%,1,1,Private room,1,1,1,50,$0.00 ,$0.00 ,1,1125,0,38.82636204,-76.99786671,Washington,20032,DC
100%,87%,1,2,Private room,1,1,1,50,$0.00 ,$95.00 ,2,240,23,38.89138686,-76.94886141,Washington,20019,DC
100%,93%,1,1,Shared room,1,1,1,50,$15.00 ,$95.00 ,2,1125,6,38.90154862,-77.01226564,Washington,20001,DC
100%,100%,1,1,Shared room,1,1,1,50,$50.00 ,$250.00 ,1,365,2,38.90162362,-77.05327966,Washington,20037,DC
90%,100%,1,3,Entire home/apt,1,1,2,50,$50.00 ,$0.00 ,2,1125,3,38.89684221,-76.94793506,Washington,20019,DC
0%,0%,2,2,Private room,1,1,1,50,$0.00 ,$0.00 ,1,1125,1,38.91119795,-77.0340636,Washington,20009,DC
50%,100%,1,1,Private room,1,1,1,50,$0.00 ,$0.00 ,1,1125,0,38.91114433,-77.08219994,Washington,20007,DC
0%,0%,1,3,Entire home/apt,1,1,3,50,$50.00 ,"$1,500.00 ",1,1125,1,38.93394651,-77.1095222,Washington,20016,DC
100%,89%,2,1,Private room,1,1,1,50,$10.00 ,$0.00 ,1,1125,7,38.90728232,-76.94338545,Washington,20019,DC
0%,0%,1,4,Private room,1,1,2,50,$0.00 ,$0.00 ,30,60,1,38.9118727,-77.0358136,Washington,20009,DC
0%,0%,1,1,Private room,1,0.5,1,50,$0.00 ,$0.00 ,7,20,0,38.91061812,-77.04255146,"Washington, D.C.",20009,DC
100%,93%,1,2,Private room,1,1,1,50,$10.00 ,$0.00 ,2,12,3,38.91413835,-77.01752626,Washington,20001,DC
91%,55%,1,2,Entire home/apt,1,1,2,50,$0.00 ,$0.00 ,1,1125,4,38.93753028,-76.99990842,Washington,20064,DC
100%,80%,1,2,Private room,1,1,1,50,$0.00 ,$0.00 ,1,1125,4,38.96089416,-77.02944934,Washington,20011,DC
100%,94%,1,2,Private room,1,1,1,50,$25.00 ,$0.00 ,14,160,3,38.95635429,-77.02252396,Washington,20011,DC
100%,93%,1,2,Private room,1,1.5,1,50,$10.00 ,$0.00 ,1,1125,36,38.94012135,-77.03388055,"Washington, D.C.",20011,DC
50%,100%,1,2,Private room,1,1,1,50,$10.00 ,$0.00 ,1,1125,2,38.94572477,-77.02518675,Washington,20011,DC
100%,100%,1,2,Private room,1,1,1,50,$0.00 ,$0.00 ,1,1125,6,38.9443713,-77.02516615,Washington,20011,DC
100%,88%,3,2,Entire home/apt,1,1,1,50,$50.00 ,$200.00 ,7,9,2,38.94887274,-77.01829902,Washington,20011,DC
70%,89%,1,2,Shared room,1,1,1,50,$0.00 ,$0.00 ,1,1125,35,38.95134422,-77.06678197,Washington,20008,DC
100%,93%,1,1,Private room,1,1,1,50,$0.00 ,$0.00 ,1,1125,5,38.94959716,-77.08301331,Washington,20016,DC
86%,100%,3,1,Private room,1,1,1,50,$0.00 ,$0.00 ,1,1125,0,38.94677585,-77.08792407,Washington,20016,DC
0%,0%,1,1,Private room,1,1,1,50,$0.00 ,$0.00 ,5,1125,0,38.9696983,-77.01091066,Washington,20012,DC
100%,67%,2,1,Private room,1,1,1,50,$75.00 ,$200.00 ,7,1125,2,38.86464997,-76.97790017,Washington,20020,DC
92%,92%,2,1,Private room,1,2,1,50,$0.00 ,$0.00 ,1,1125,24,38.86411035,-76.98922088,Washington,20020,DC
0%,0%,1,1,Shared room,1,1.5,1,50,$5.00 ,$0.00 ,1,3,0,38.86487719,-76.96198349,Washington,20020,DC
92%,100%,6,2,Private room,1,1,1,50,$15.00 ,$0.00 ,1,1125,58,38.8709045,-76.96764648,Washington,20020,DC
85%,100%,1,2,Private room,1,2,1,50,$15.00 ,$0.00 ,1,1125,0,38.87426179,-76.96235387,Washington,20019,DC
100%,67%,2,1,Private room,1,1,1,50,$75.00 ,$200.00 ,14,1125,0,38.86602599,-76.97662597,Washington,20020,DC
91%,93%,1,2,Private room,1,1.5,2,50,$0.00 ,$0.00 ,2,28,119,38.89714946,-76.99667234,Washington,20002,DC
0%,0%,1,2,Entire home/apt,1,1,2,50,$0.00 ,$0.00 ,1,1125,1,38.89294085,-76.99777106,Washington,20002,DC
67%,50%,1,1,Private room,1,1,1,50,$0.00 ,$0.00 ,4,1125,0,38.92615183,-77.04051938,Washington,20009,DC
100%,100%,1,2,Private room,1,1,1,50,$10.00 ,$0.00 ,2,1125,47,38.91561314,-77.00821858,Washington,20002,DC
100%,100%,2,1,Private room,1,1,1,50,$0.00 ,$0.00 ,1,1125,1,38.91768193,-77.01099915,Washington,20001,DC
0%,0%,1,3,Private room,1,1,1,50,$25.00 ,$0.00 ,1,1125,1,38.93975808,-77.01402309,Washington,20011,DC
70%,100%,2,2,Private room,1,1,1,50,$20.00 ,$200.00 ,1,7,3,38.91346489,-77.00914696,Washington,20001,DC
84%,91%,2,2,Private room,1,1,1,50,$15.00 ,$0.00 ,1,1125,1,38.92249095,-77.00202588,Washington,20002,DC
94%,100%,1,2,Shared room,1,1,1,50,$0.00 ,$0.00 ,1,3,8,38.93174977,-77.02952118,Washington,20010,DC
100%,100%,1,2,Private room,1,1,1,50,$0.00 ,$0.00 ,1,1125,0,38.92890359,-77.0282783,Washington,20010,DC
92%,100%,1,4,Shared room,1,1,2,50,$0.00 ,$100.00 ,1,1125,0,38.93438489,-77.03272876,Washington,20010,DC
0%,0%,1,2,Private room,1,1.5,1,50,$0.00 ,$0.00 ,3,12,1,38.93006113,-77.03214553,Washington,20010,DC
100%,0%,1,1,Private room,1,0.5,1,50,$0.00 ,$0.00 ,1,1125,1,38.9334907,-77.02967893,Washington,20010,DC
92%,88%,2,2,Private room,1,1.5,1,50,$0.00 ,$0.00 ,1,1125,26,38.93610307,-77.02901199,Washington,20010,DC
0%,100%,1,2,Private room,1,1,1,50,$0.00 ,$0.00 ,1,1125,8,38.93275048,-77.02355131,Washington,20010,DC
50%,100%,2,1,Private room,1,1,1,50,$100.00 ,$500.00 ,1,1125,2,38.92904299,-76.95943881,"Washington, D.C.",20018,DC
50%,100%,2,1,Private room,1,1,1,50,$100.00 ,$500.00 ,1,2000,2,38.92691348,-76.95803491,Washington,20018,DC
0%,100%,1,1,Private room,1,1,1,50,$25.00 ,$0.00 ,1,1125,3,38.92753934,-77.07208174,Washington,20007,DC
90%,92%,2,1,Private room,1,1,1,50,$35.00 ,$100.00 ,2,1125,5,38.93649132,-77.08300063,Washington,20016,DC
100%,92%,2,3,Private room,1,1,2,50,$19.00 ,$300.00 ,1,1125,2,38.93487106,-77.05934702,Washington,20008,DC
,,1,2,Private room,1,1,1,50,,,3,7,0,38.88485689,-76.97827155,Washington,20003,DC
100%,50%,1,1,Shared room,1,1,2,50,$15.00 ,,1,5,0,38.88268053,-76.98156542,Washington,20003,DC
100%,100%,4,2,Private room,1,1,1,51,$0.00 ,$95.00 ,3,1125,35,38.86293841,-76.99016089,Washington,20020,DC
100%,100%,1,2,Shared room,1,1,1,51,$0.00 ,$0.00 ,1,1125,87,38.92403644,-77.03692389,Washington,20009,DC
100%,83%,1,2,Private room,1,1,1,52,$0.00 ,$0.00 ,1,1125,1,38.94070885,-76.96570499,Mount Rainier,20712,MD
68%,91%,5,2,Private room,1,1,1,52,$0.00 ,$0.00 ,1,1125,7,38.94142248,-77.01796556,Washington,20011,DC
90%,100%,2,4,Entire home/apt,2,2,2,52,$20.00 ,$0.00 ,2,1125,28,38.86334761,-76.99294161,Washington,20020,DC
89%,97%,6,1,Private room,1,1,1,53,$15.00 ,$0.00 ,1,1125,1,38.90047946,-77.05184502,Washington,20006,DC
99%,99%,8,2,Private room,1,1,1,53,$19.00 ,$0.00 ,1,1125,8,38.86497266,-76.98066001,Washington,20020,DC
100%,100%,1,2,Private room,1,1.5,1,53,$19.00 ,$95.00 ,2,7,35,38.89752494,-76.97239543,Washington,20002,DC
0%,0%,1,2,Private room,1,1,1,53,$0.00 ,$0.00 ,1,1125,0,38.92878425,-77.03019811,Washington,20010,DC
92%,100%,6,2,Private room,1,2,1,54,$15.00 ,$0.00 ,2,1125,50,38.87127849,-76.9678097,Washington,20020,DC
92%,100%,6,2,Private room,1,2,1,54,$15.00 ,$0.00 ,1,1125,61,38.86934328,-76.96769455,Washington,20020,DC
94%,89%,1,4,Private room,1,1,2,54,$9.00 ,$0.00 ,1,1125,53,38.92798283,-77.03090577,Washington,20010,DC
80%,100%,1,1,Entire home/apt,1,1,1,54,$0.00 ,$0.00 ,1,210,0,38.93616275,-77.03493053,Washington,20010,DC
100%,100%,2,2,Private room,1,1,1,54,$25.00 ,$0.00 ,2,1125,0,38.93622936,-77.03274919,Washington,20010,DC
100%,100%,1,1,Entire home/apt,0,1,1,54,,,1,1125,0,38.93823846,-77.06100926,Washington,20008,DC
88%,100%,1,1,Entire home/apt,1,1,1,55,$0.00 ,$100.00 ,3,1125,1,38.99593775,-77.03614117,Silver Spring,20910,MD
100%,100%,5,1,Private room,1,1,1,55,$75.00 ,$150.00 ,1,1125,0,38.84693412,-76.99929432,Washington,20032,DC
100%,100%,5,3,Private room,1,1,2,55,$75.00 ,$150.00 ,1,1125,5,38.84724289,-76.99915559,Washington,20032,DC
100%,100%,2,2,Private room,1,2.5,1,55,$25.00 ,$300.00 ,2,1125,0,38.82775661,-77.0083268,Washington,20032,DC
92%,95%,2,2,Private room,1,1,1,55,$0.00 ,$0.00 ,2,30,4,38.89362812,-76.95924839,Washington,20019,DC
100%,0%,1,1,Private room,1,1,1,55,$0.00 ,$0.00 ,20,21,0,38.89904091,-77.01668928,Washington,20001,DC
0%,0%,1,1,Shared room,1,1,1,55,$15.00 ,$0.00 ,1,14,1,38.90195179,-77.05285593,Washington,20037,DC
57%,100%,4,2,Private room,1,1,1,55,$50.00 ,$100.00 ,2,1365,0,38.89377357,-76.913137,Washington,20019,DC
100%,33%,1,2,Shared room,1,1,1,55,$0.00 ,$250.00 ,2,1125,19,38.90577194,-77.03042972,Washington,20005,DC
100%,89%,2,2,Private room,1,1,1,55,$10.00 ,$0.00 ,1,1125,1,38.88866728,-76.92912919,Washington,20019,DC
88%,88%,1,2,Private room,1,1,1,55,$0.00 ,$0.00 ,3,1125,4,38.90612847,-76.99653819,Washington,20002,DC
100%,0%,1,1,Private room,1,1,1,55,$0.00 ,$0.00 ,1,1125,0,38.9006924,-76.97497778,Washington,20002,DC
